TE;01 cpx;01 opx;03 cpx;04 cpx;04 opx;05 cpx;05 opx;DM
Th;;;0.001439553;;0.010943396;;0.006289308;0.172327044
U;0.69;0.119211823;23.67542419;0.126272578;0.326108374;0.476765189;0.126724138;0.231527094
Pb;3.1592;3.033333333;;0.373333333;0.29;0.216666667;;0.015466667
Zr;0.02;0.006793651;0.492417989;0.081514286;0.017790476;0.067757576;0.017420635;0.756190476
Hf;0.234;0.04335689;0.352389808;0.465017668;0.115382803;0.428975265;0.110407967;0.703180212
Ba;0.07;0.003143939;0.080748663;0.005280303;0.003875;0.005848485;0.003027273;0.181818182
La;0.0106;0.001527778;0.157921811;0.006877572;0.001844136;0.00907716;;0.361111111
Ce;0.004343284;0.00103113;0.018799649;0.012662687;0.00159403;0.011020896;0.001048188;0.460895522
Nd;0.133066667;0.00404;0.129182222;0.293090909;0.010429091;0.245163636;0.00632;0.5704
Sm;0.640667761;0.026706545;0.238977833;1.097402597;0.052322308;1.057881773;0.059334975;0.665024631
Eu;0.916305916;0.04461039;0.203588745;1.304545455;0.09527745;1.226623377;0.08135436;0.694805195
Gd;1.699550654;0.110523897;0.522469723;2.081801471;0.150169683;2.129411765;0.159258021;0.726102941
Dy;2.789152654;0.270164554;0.695400593;3.150795792;0.416701992;2.949824656;0.340009891;0.787833828
Y;2.750645995;0.354376321;0.790437756;2.898942918;0.469320215;2.738837209;0.419408034;0.946511628
Er;3.335109082;0.519596651;0.95890411;3.48007472;0.688682322;3.128538813;0.600041511;0.847031963
Yb;3.25648778;0.813852814;1.192617788;3.235621521;0.963416478;2.928262214;0.834845049;0.909297052
Lu;3.117695473;1.102491582;1.094379085;2.926599327;1.087308642;2.653333333;0.924074074;0.933333333
